query	subject	qStart	qEnd	sStart	sEnd
gi|1154410469|ref|NW_018085385.1|:884099:885708:-	gi|1154402941|ref|NW_018092913.1|:97991:99245:+	404	1557	1214	67
NC_035090.1:64890202:64891479:-	NC_035101.1:14806148:14807028:-	4	881	2	881
KE996424.1:6559:7269:-	KE993723.1:556731:557265:-	1	535	1	535
NC_029661.1:32695028:32696311:+	NC_029653.1:38133665:38134712:+	498	1284	1	787
gi|429476315|ref|NW_003501388.2|:53895400:53897784:-	gi|429476251|ref|NW_004087912.1|:35441207:35442611:-	9	1414	1	1405
gi|1154409337|ref|NW_018086517.1|:1004737:1006382:+	gi|1154409527|ref|NW_018086327.1|:140004:141614:+	27	1646	4	1611
gi|1154408937|ref|NW_018086917.1|:1097479:1098835:+	gi|1154408914|ref|NW_018086940.1|:3766381:3767349:-	418	1280	889	16
gi|1049006348|ref|NW_016683360.1|:68719361:68720983:+	gi|1049006341|ref|NW_016683367.1|:55407952:55409546:+	1	1623	1	1595
gi|549509382|ref|NW_005356870.1|:1431877:1436534:-	gi|549484952|ref|NW_005372055.1|:245473:250052:+	505	4658	4580	431
LTYT01002596.1:69023:69498:+	LTYT01014967.1:12586:13152:-	1	472	476	5
gi|1019159117|ref|NW_015505201.1|:786607:787978:+	gi|1019146098|ref|NW_015506402.1|:259768:261352:+	361	1372	387	1384
gi|1049006349|ref|NW_016683359.1|:76888751:76890356:+	gi|1049006343|ref|NW_016683365.1|:27786382:27787970:+	3	1606	1	1589
NW_003223986.1:3:597:+	NW_010806336.1:791566:793515:-	595	1	1231	1825
gi|537225285|ref|NW_004973199.1|:1285781:1287059:-	AAPY01647573.1:4978:5526:+	1000	435	1	549
gi|657099094|ref|NW_007584844.1|:32553:33368:-	ref|NW_019170548.1|:28458485:28459113:-	1	578	35	607
gi|1104753381|ref|NW_017613870.1|:20657674:20659308:-	gi|1104749280|ref|NW_017616000.1|:19626:20871:+	4	1276	1238	1
gi|590106043|ref|NW_006725521.1|:148283:148964:-	gi|590094029|ref|NW_006731345.1|:3123462:3123806:+	347	682	333	1
ref|NW_018394246.1|:148847:150124:-	ref|NW_018394685.1|:243805:245013:-	6	1213	9	1205
gi|1049006347|ref|NW_016683361.1|:59004422:59006041:+	gi|1049006343|ref|NW_016683365.1|:83667291:83668914:+	1	1620	4	1623
LVCR01039673.1:7979:9274:-	LVCR01047493.1:2703:4093:-	22	1147	264	1391
KV751342.1:6174837:6176446:+	KV751359.1:875303:876907:-	1	1608	1605	1
gi|924838911|ref|NW_014002319.1|:541588:542326:-	CM007561.1:26111609:26112280:+	2	577	576	1
gi|1040650118|ref|NW_016094498.1|:147960:148608:+	ref|NW_012224495.1|:296032:296424:+	289	649	1	361
gi|741194501|ref|NW_011511141.1|:1472275:1476629:-	gi|741192033|ref|NW_011512521.1|:7160337:7165181:-	2	4355	1	4354
NC_035085.1:48192007:48193644:+	NC_035078.1:83293601:83295233:+	3	1636	1	1633
gi|1049006345|ref|NW_016683363.1|:79525995:79527382:+	gi|1049006349|ref|NW_016683359.1|:155362547:155364154:+	1	1388	225	1606
BADN01048815.1:1674:2224:+	BADN01073197.1:6427:6926:+	53	545	3	492
gi|924835327|ref|NW_014005902.1|:1907043:1907794:+	NC_012598.1:85666932:85668624:+	8	749	222	956
gi|925216725|ref|NC_027309.1|:70090342:70091939:-	gi|925216725|ref|NC_027309.1|:90013270:90014574:+	1	1302	1304	1
gi|1022429429|ref|NW_015647064.1|:788069:789584:+	gi|1022411253|ref|NW_015656606.1|:369127:370671:+	1	1053	1	1053
NC_019860.2:5173956:5175075:+	NC_019861.2:37133788:37134904:-	1	1120	1113	1
gi|1097093207|ref|NW_017537752.1|:70283:71856:-	gi|1097093425|ref|NW_017537741.1|:8732337:8733077:-	1	334	408	741
gi|1070655636|ref|NW_017306614.1|:1071724:1072861:+	gi|1070653014|ref|NW_017309235.1|:49107:49609:-	639	941	503	213
gi|925216725|ref|NC_027309.1|:16752730:16753964:-	gi|925216694|ref|NC_027323.1|:25414571:25415528:-	402	1037	1	637
NC_029663.1:19287128:19288611:-	NW_015448803.1:24279:26062:-	119	1463	143	1487
ref|NW_018394307.1|:1013762:1014457:-	LD636699.1:1103134:1103868:-	47	600	4	569
gi|1047493518|ref|NW_016243870.1|:937967:938661:-	gi|1047492850|ref|NW_016244538.1|:152009:152640:-	1	601	1	601
gi|1154409146|ref|NW_018086708.1|:1392264:1393476:+	gi|1154408914|ref|NW_018086940.1|:2756194:2756939:+	502	1213	1	715
gi|1074017795|ref|NW_017367107.1|:122991:124233:-	gi|1047493401|ref|NW_016243987.1|:821406:823115:-	29	1228	467	1663
gi|1167782790|ref|NW_018127931.1|:5310669:5312013:+	gi|1167781949|ref|NW_018128405.1|:76941:78404:-	1	1345	1345	1
gi|1167782524|ref|NW_018128076.1|:812570:814204:+	gi|1167782041|ref|NW_018128313.1|:82729:84152:+	1	1344	2	1343
gi|558472728|ref|NW_005882714.1|:3453577:3454600:-	gi|558438598|ref|NW_005916672.1|:2:659:-	196	850	1	658
gi|1047492391|ref|NW_016244997.1|:60043:61350:-	gi|1047491994|ref|NW_016245394.1|:3715:4234:+	1	515	520	1
AXRT01342819.1:39:535:-	CM003013.1:171551012:171551616:+	417	1	1	417
gi|1049006347|ref|NW_016683361.1|:64003070:64004094:+	gi|1049006344|ref|NW_016683364.1|:51434925:51436182:+	1	1025	24	1048
gi|1040650294|ref|NW_016094322.1|:1889748:1890972:+	ref|NW_018394206.1|:24610763:24612189:+	19	1225	110	1290
gi|972557339|ref|NW_015150468.1|:1215382:1216578:+	FLSR01000022.1:108679:109814:-	1171	56	22	1136
gi|1104753192|ref|NW_017613883.1|:17275546:17276919:+	gi|1104753415|ref|NW_017613868.1|:9268662:9269697:+	316	1374	1	1036
KI320762.1:4582:5720:+	gi|1154409740|ref|NW_018086114.1|:2317195:2318562:+	1	1139	42	1167
NC_019870.2:28632598:28635275:-	NC_019866.2:10623929:10624980:-	295	1345	1	1052
gi|930642746|ref|NW_014019532.1|:1:1137:+	gi|930647845|ref|NW_014014434.1|:3888697:3890885:-	1	1137	1357	220
gi|1109087906|ref|NW_017619903.1|:3159876:3161588:-	gi|1109095021|ref|NW_017619875.1|:16045130:16046859:+	315	1711	1730	330
PIZI01000025.1:1543980:1545175:+	PIZI01001507.1:9122:10065:+	3	714	244	944
NC_029658.1:48455650:48457187:-	gi|1167782722|ref|NW_018127983.1|:2479295:2480689:+	1299	12	11	1295
KE993735.1:1676902:1678503:-	KE994142.1:315233:316813:+	5	1602	1578	1
gi|930648429|ref|NW_014013850.1|:2671139:2674030:-	gi|930648404|ref|NW_014013875.1|:5319522:5321587:-	4	2054	16	2066
gi|730054465|ref|NW_011043613.1|:3565341:3571958:+	gi|730053450|ref|NW_011044628.1|:5146333:5152942:+	38	6607	31	6598
gi|1070655722|ref|NW_017306528.1|:747020:748170:-	gi|1070654150|ref|NW_017308099.1|:97679:98881:-	3	1149	1	1144
LIAG010001308.1:1747:3241:-	LIAG010760831.1:920:2415:-	1	1495	1	1496
gi|1070655783|ref|NW_017306467.1|:568015:568545:+	gi|1070654575|ref|NW_017307674.1|:287227:287755:-	1	530	522	1
gi|734257359|ref|NW_011357528.1|:65642:66234:-	gi|734213079|ref|NW_011367337.1|:2246:2879:-	1	593	4	595
ref|NW_019170535.1|:17565013:17566456:-	ref|NW_019172925.1|:6159076:6160641:+	1	1074	1400	326
KQ557225.1:33684466:33685180:-	KQ557225.1:47447313:47447796:+	1	431	428	1
gi|778160952|ref|NW_012001231.1|:130988:133576:+	gi|778160198|ref|NW_012001340.1|:3921573:3923502:-	466	2389	1922	1
KN632471.1:72576:73705:+	KN637080.1:21059:22194:-	1	1130	1136	1
gi|1047493610|ref|NW_016243778.1|:20514:21502:-	gi|1047450279|ref|NW_016283481.1|:1:606:+	216	821	606	1
ABQO011190836.1:8:1007:-	ref|NW_018084673.1|:15164392:15169479:+	1000	2	3176	4176
gi|925216769|ref|NC_027303.1|:56211573:56213180:-	gi|925216700|ref|NC_027320.1|:44097695:44099094:-	209	1607	1	1400
gi|550711761|ref|NW_005392913.1|:545597:547634:+	gi|550711525|ref|NW_005393094.1|:424488:427076:+	1	2038	292	2318
gi|930648381|ref|NW_014013898.1|:7942029:7945601:-	gi|930647826|ref|NW_014014453.1|:7214091:7216796:+	1	2086	2699	641
gi|1154409470|ref|NW_018086384.1|:1238574:1240225:+	gi|1154410300|ref|NW_018085554.1|:3386665:3388294:+	3	1612	3	1630
gi|1127425668|ref|NW_017844714.1|:38586290:38589614:-	gi|1127425668|ref|NW_017844714.1|:82729322:82732619:+	1	2831	2827	1
gi|1167782918|ref|NW_018127893.1|:1769268:1770148:-	gi|1167783204|ref|NW_018127882.1|:2090531:2091412:+	1	881	882	3
gi|786078558|ref|NW_012115156.1|:422593:428729:-	gi|786073506|ref|NW_012116533.1|:2620143:2623028:+	1	2851	2870	1
gi|1078571756|ref|NW_017371787.1|:8877461:8878061:-	gi|1078571617|ref|NW_017371926.1|:10541870:10542861:-	1	601	214	798
LIAG010001308.1:1747:3241:-	LIAG010505332.1:1661:3152:-	1	1495	1	1492
ref|NW_018357094.1|:291385:293047:+	ref|NW_018357671.1|:82903:84562:+	3	1663	2	1660
gi|1070655744|ref|NW_017306506.1|:225834:226932:+	gi|1070654226|ref|NW_017308023.1|:292984:293885:+	134	1018	16	902
PIZI01000017.1:11202645:11204261:+	PIZI01000001.1:1027944:1029548:+	8	1617	1	1605
gi|1047493609|ref|NW_016243779.1|:3151163:3152662:+	gi|1047489062|ref|NW_016248326.1|:1:1247:-	1	1240	1247	1
gi|657098818|ref|NW_007585120.1|:236695:237551:-	gi|657098836|ref|NW_007585102.1|:422213:423190:+	1	857	975	101
gi|1019159085|ref|NW_015505204.1|:4398770:4400379:+	gi|1019148490|ref|NW_015506169.1|:190959:192566:-	3	1610	1605	7
NC_012599.1:12887028:12891861:-	NW_002938595.1:4827:8770:-	878	4827	1	3944
gi|460718291|ref|NW_004444004.1|:5312919:5315865:-	gi|460713385|ref|NW_004444213.1|:907660:908977:-	508	1855	1	1318
NC_029656.1:56066425:56066994:-	NC_029667.1:19573287:19573896:-	1	559	4	568
gi|778161492|ref|NW_012011022.1|:3924940:3926901:-	gi|778101192|ref|NW_012018354.1|:7503277:7504408:-	1	688	445	1132
gi|1047493588|ref|NW_016243800.1|:3260795:3262403:-	gi|1047493558|ref|NW_016243830.1|:1176939:1178523:-	1	1608	1	1585
gi|957807201|ref|NW_014639024.1|:44418016:44420590:-	gi|957807215|ref|NW_014639010.1|:82322923:82325585:-	1	2575	19	2615
gi|557455227|ref|NW_005856744.1|:1146133:1147381:+	gi|557453087|ref|NW_005858884.1|:701837:703061:+	1	1248	1	1225
gi|1019159252|ref|NW_015505191.1|:708533:709800:+	gi|1019158504|ref|NW_015505251.1|:900810:902410:-	4	1268	1291	52
gi|972557067|ref|NW_015150740.1|:282943:283576:-	gi|734415500|ref|NW_011332885.1|:118942:119437:-	1	476	34	496
gi|1097094300|ref|NW_017537735.1|:2731264:2732493:-	gi|1097093216|ref|NW_017537744.1|:16168319:16169359:-	53	1102	1	1041
AANH01002107.1:43291:45590:-	AANH01007258.1:107480:109101:-	1	1539	105	1622
gi|925216720|ref|NC_027311.1|:83629213:83630667:-	gi|925216718|ref|NC_027312.1|:38716516:38718149:-	1	1454	194	1634
gi|545786146|ref|NW_005179641.1|:203305:204335:-	gi|545786006|ref|NW_005179687.1|:726299:727330:+	1	1028	1032	1
gi|925216725|ref|NC_027309.1|:89256644:89257854:-	gi|925216718|ref|NC_027312.1|:38003492:38004203:+	494	960	705	245
LIAG010154036.1:2811:4413:-	LIAG010227129.1:10402:11425:+	304	1271	946	1
ref|NW_018344033.1|:4443151:4444683:-	ref|NW_018344143.1|:4681140:4682687:-	4	1531	1	1548
KV751334.1:1123375:1124864:-	KV751371.1:2598909:2600316:-	56	1490	1	1408
gi|429476303|ref|NW_004087886.1|:65341568:65342373:+	gi|328815877|ref|NW_003518981.1|:10:3030:+	1	806	2037	2842
LIAG010347429.1:6979:8463:-	LIAG010761271.1:1688:2596:-	1	907	1	909
NC_029651.1:66871813:66872621:-	NW_015448409.1:16253:17061:-	1	809	1	809
LIAG010176997.1:4112:5583:+	LIAG010134719.1:3365:4426:+	271	1337	7	1059
NC_035080.1:24383512:24384834:-	NC_035088.1:12276622:12278002:-	117	1204	21	1104
gi|1078572029|ref|NW_017371514.1|:10300899:10302082:-	gi|924428024|ref|NW_013952443.1|:537773:538986:-	1	1181	46	1209
gi|1104469568|ref|NW_017608564.1|:2100350:2101103:+	gi|1104468102|ref|NW_017609727.1|:770284:771124:+	55	613	244	781
LIAG010292605.1:13206:14189:+	LIAG010524629.1:3326:4213:+	1	882	1	880
gi|1154409910|ref|NW_018085944.1|:309822:311406:-	gi|1154410068|ref|NW_018085786.1|:851301:852825:-	106	1583	49	1525
NIPP01002972.1:110236:111070:-	NIPP01042797.1:1:904:-	1	445	460	904
PIZI01000003.1:6757154:6759388:-	PIZI01000054.1:6681831:6682642:-	449	1260	1	812
gi|1154405450|ref|NW_018090404.1|:251580:253195:+	gi|1154409837|ref|NW_018086017.1|:47485:49120:+	1	1616	1	1636
NC_035078.1:45670492:45672092:+	NC_035099.1:38795402:38797009:+	1	1601	1	1608
LIAG010099909.1:2985:3432:-	LIAG010187359.1:629:1259:+	11	448	431	1
ref|NW_012224535.1|:394565:395365:+	ref|NW_012226644.1|:1:652:+	201	796	1	603
gi|460718342|ref|NW_004443953.1|:12542873:12545229:-	gi|460713487|ref|NW_004444111.1|:1859431:1860124:+	1299	1997	694	1
gi|1154409815|ref|NW_018086039.1|:545838:546731:+	gi|1154402381|ref|NW_018093473.1|:19494:20464:+	3	683	287	968
LTYT01006155.1:23153:24651:-	LTYT01013587.1:20771:21621:-	274	1081	1	784
gi|550711085|ref|NW_005393395.1|:2254300:2255486:-	gi|550710094|ref|NW_005393940.1|:35674:37598:+	6	1171	1363	207
NC_029649.1:59778807:59779355:-	NC_029661.1:16244201:16244839:-	1	549	1	550
NC_035087.1:70810335:70812277:+	gi|1097079215|ref|NW_017538767.1|:32617:33797:-	1496	1943	1016	569
gi|460718306|ref|NW_004443989.1|:5288014:5289352:-	gi|460718261|ref|NW_004444034.1|:194779:196094:+	3	1285	1316	31
ref|NW_019170556.1|:21632262:21632838:-	ref|NW_019172906.1|:843188:843585:+	15	400	398	13
gi|1019158530|ref|NW_015505248.1|:1685125:1686660:-	gi|1019143511|ref|NW_015506660.1|:209061:210459:-	303	1536	153	1399
LIAG010064621.1:2822:3508:-	LIAG011121404.1:170:1048:-	1	687	1	687
gi|1104753209|ref|NW_017613882.1|:17167358:17168318:-	gi|1104749554|ref|NW_017615861.1|:211922:212882:-	1	961	1	961
gi|619434484|ref|NW_006735250.1|:47845462:47846467:+	gi|619433672|ref|NW_006735256.1|:37896354:37896796:+	521	963	1	443
gi|1167782726|ref|NW_018127979.1|:2667820:2668777:-	gi|1167781904|ref|NW_018128447.1|:78326:79064:+	4	655	651	2
PIZI01000030.1:5814496:5817098:-	PIZI01000039.1:3454311:3455032:-	5	720	1	722
gi|961413451|ref|NW_015096727.1|:80873:81792:+	gi|961405900|ref|NW_015100249.1|:2202:3073:-	46	632	629	43
NC_035078.1:11675616:11676757:-	NC_035078.1:13115651:13116516:-	1	891	1	866
gi|1047493607|ref|NW_016243781.1|:3334498:3335811:+	gi|1047493364|ref|NW_016244024.1|:166469:167933:+	1	1263	1	1238
gi|925216769|ref|NC_027303.1|:502399:503845:+	gi|925216783|ref|NC_027300.1|:57194626:57196233:+	16	1444	196	1605
gi|1041774902|ref|NW_016097684.1|:2842078:2843699:+	gi|1041775175|ref|NW_016097411.1|:9313525:9314755:+	1	1175	1	1152
gi|786075451|ref|NW_012115599.1|:2972794:2976679:-	gi|786058318|ref|NW_012119844.1|:293714:296210:+	1	2392	2389	1
gi|957807205|ref|NW_014639020.1|:4301708:4303133:-	gi|957807210|ref|NW_014639015.1|:13060452:13061751:-	1	1185	110	1300
gi|550152142|ref|NW_005372423.1|:290127:290683:+	gi|1104468311|ref|NW_017609518.1|:303818:304841:-	15	534	530	1
NC_029652.1:46896340:46898552:+	NC_029661.1:29444699:29447614:-	1	2213	2201	1
gi|1104753155|ref|NW_017613885.1|:18481241:18485442:+	gi|1104749194|ref|NW_017616047.1|:115824:120028:+	1	4202	1	4205
gi|657099092|ref|NW_007584846.1|:143353:143929:+	gi|1041774658|ref|NW_016097928.1|:11690040:11691659:-	574	1	391	942
BADN01005157.1:3505:5107:-	BADN01059169.1:2648:3736:+	167	1238	1059	1
gi|925216686|ref|NC_027325.1|:22963918:22965508:+	gi|924952694|ref|NW_012358316.1|:3831:5134:-	302	1591	1304	2
gi|1047493582|ref|NW_016243806.1|:3879321:3880503:+	gi|1047493591|ref|NW_016243797.1|:3218592:3219809:-	60	1183	1173	39
gi|961437780|ref|NW_015112809.1|:361495:362476:+	gi|961436102|ref|NW_015114487.1|:110493:111255:+	143	827	1	680
NC_035089.1:10165177:10166738:+	NC_035081.1:32808329:32809530:+	383	1412	6	1007
NC_035079.1:36836746:36837638:-	NW_018534328.1:11145:12453:-	2	893	22	899
gi|1104749488|ref|NW_017615895.1|:599709:601205:-	gi|1104753400|ref|NW_017613869.1|:31906280:31907843:-	1	1497	1	1488
NC_030828.1:53089149:53091704:-	NW_017189516.1:331667:335468:-	1	2556	512	3077
gi|1041774978|ref|NW_016097608.1|:6250679:6251933:+	gi|1041773513|ref|NW_016099073.1|:1086:2035:+	243	793	1	563
KV751359.1:2945405:2946062:+	gi|1019156241|ref|NW_015505438.1|:2608636:2608956:-	652	329	11	321
gi|1074023441|ref|NW_017366819.1|:9505:10484:-	gi|1097004004|ref|NW_017546549.1|:7290:8308:-	92	974	58	940
gi|924427340|ref|NW_013952520.1|:694920:695878:+	gi|924426939|ref|NW_013952851.1|:56653:57483:+	1	544	295	831
NC_035087.1:52776463:52778094:-	NC_035105.1:26250022:26251655:-	2	1632	1	1634
gi|1167782803|ref|NW_018127918.1|:1346962:1348325:-	gi|1167782395|ref|NW_018128196.1|:224539:225942:-	1	1364	1	1363
gi|429476308|ref|NW_004087882.1|:62096415:62099216:-	gi|429476281|ref|NW_003501428.2|:6658343:6660801:-	6	2450	2	2446
LKNJ01009536.1:6864:7714:+	gi|1097093211|ref|NW_017537749.1|:6494769:6496007:+	2	814	429	1233
gi|554667677|ref|NW_005821124.1|:295448:297104:+	gi|554661691|ref|NW_005826238.1|:662:1418:-	903	1657	757	3
gi|734348661|ref|NW_011341722.1|:16137:16812:+	gi|734259271|ref|NW_011357190.1|:89831:90591:+	1	674	81	761
NC_012593.1:34215760:34218056:+	NC_012595.1:75234046:75235854:+	328	1738	390	1795
gi|1104753317|ref|NW_017613875.1|:100215:101465:+	gi|1104753174|ref|NW_017613884.1|:17187644:17188939:+	1	1251	47	1296
ref|NW_019170550.1|:47790:49156:+	ref|NW_019170557.1|:24229234:24230627:-	115	1367	1394	158
NC_029665.1:7769857:7771341:+	NW_015444038.1:7672:9288:+	1	1485	1	1485
gi|925159942|ref|NW_012341639.1|:773459:774887:+	gi|924994461|ref|NW_012351113.1|:7381:8557:+	1	1187	1	1177
gi|972894899|ref|NW_015168044.1|:994101:997120:-	gi|972886943|ref|NW_015176000.1|:394301:397518:+	1	3015	3037	6
gi|1047493440|ref|NW_016243948.1|:1196281:1197378:+	gi|1047493291|ref|NW_016244097.1|:510834:512285:+	1	1096	382	1450
BADN01014938.1:286:800:+	BADN01017663.1:8323:8862:+	38	514	44	520
gi|429476315|ref|NW_003501388.2|:22510440:22515943:-	gi|429476313|ref|NW_004087878.1|:10740031:10742328:+	3	2295	2294	1
gi|1051343078|ref|NW_016694795.1|:123206751:123207659:-	gi|1051343067|ref|NW_016694805.1|:31195952:31197501:+	207	909	1379	686
LIAG010503004.1:1310:2950:-	LIAG010822310.1:4:1378:-	9	1445	9	1375
KN461044.1:128886:130101:-	BADN01022798.1:2714:3332:-	522	1070	9	571
gi|1078572008|ref|NW_017371535.1|:159559:161202:+	gi|1078571372|ref|NW_017372171.1|:1512770:1513329:+	208	740	27	560
gi|924427255|ref|NW_013952585.1|:940109:941008:+	gi|924426929|ref|NW_013952861.1|:167645:168481:-	396	854	837	376
LVKQ01S006633.1:343621:345662:+	LVKQ01S008157.1:49919:52849:-	22	2042	2810	820
ref|NW_018394252.1|:19210187:19211367:+	ref|NW_018394322.1|:14001521:14002670:+	16	1043	33	1039
LIAG010059318.1:2423:3633:-	LIAG010662551.1:3279:4272:-	1	988	1	994
gi|1049006349|ref|NW_016683359.1|:118493508:118495099:+	gi|1049006348|ref|NW_016683360.1|:141183967:141185553:+	1	1592	1	1582
gi|1097093201|ref|NW_017537758.1|:12119689:12122660:+	gi|1097046210|ref|NW_017541613.1|:56249:58193:-	2077	2484	1945	1536
gi|1167782829|ref|NW_018127899.1|:2911711:2913127:-	gi|1167782565|ref|NW_018128035.1|:761209:762831:+	1	1410	1623	214
NC_035084.1:36597145:36598231:+	NC_035087.1:75023100:75024538:+	1	1087	151	1237
ref|NW_019170539.1|:9269420:9271922:+	ref|NW_019170987.1|:128489:131270:-	1	2503	2527	1
NC_035090.1:54811700:54813148:+	NC_035091.1:26292857:26294446:+	1	1449	143	1590
gi|1022466086|ref|NW_015627891.1|:1397543:1399032:-	gi|1022442252|ref|NW_015640445.1|:2150053:2150944:-	1	843	50	892
gi|1019156541|ref|NW_015505416.1|:1197671:1198539:-	gi|1019143789|ref|NW_015506625.1|:24163:24766:-	6	598	1	604
gi|1154409845|ref|NW_018086009.1|:296345:297978:-	gi|1154409193|ref|NW_018086661.1|:214568:216203:-	1	1634	1	1634
gi|545793458|ref|NW_005187465.1|:2526346:2526983:-	KN481216.1:71746:72308:+	425	18	83	529
ref|NW_019174272.1|:15908048:15909692:+	ref|NW_019174311.1|:290387:291458:+	1	1069	1	1072
gi|1104461677|ref|NW_017613854.1|:1050291:1051091:+	gi|1104461672|ref|NW_017613859.1|:1257657:1258109:-	347	800	453	1
NW_010793928.1:97848:101155:-	NW_010796985.1:317110:322316:-	3	3308	783	4088
gi|1154410024|ref|NW_018085830.1|:422930:424496:-	gi|1154409385|ref|NW_018086469.1|:1434989:1436581:-	1	1557	12	1569
gi|1127425661|ref|NW_017844721.1|:21927562:21928603:-	gi|1127419813|ref|NW_017844724.1|:24670146:24671011:+	194	1042	866	16
gi|1154409636|ref|NW_018086218.1|:144413:146064:+	gi|1154409633|ref|NW_018086221.1|:576277:577722:+	36	1471	3	1441
gi|1049006348|ref|NW_016683360.1|:99540650:99542249:+	gi|1049006347|ref|NW_016683361.1|:71489235:71490862:+	3	1600	1	1608
gi|1051343074|ref|NW_016694799.1|:100225964:100226834:-	gi|1051343067|ref|NW_016694805.1|:58361551:58362297:+	226	650	512	100
gi|1104753293|ref|NW_017613877.1|:1564336:1565566:-	gi|1104753364|ref|NW_017613871.1|:25034775:25036463:-	1	953	186	1132
gi|1154402035|ref|NW_018093819.1|:42895:44119:-	gi|1154399237|ref|NW_018096617.1|:692:1819:+	481	1225	1111	356
gi|1167782720|ref|NW_018127985.1|:766527:768162:-	gi|1167782729|ref|NW_018127976.1|:2078136:2079769:-	1	1634	1	1634
gi|1154410208|ref|NW_018085646.1|:1971198:1972509:+	gi|1154410138|ref|NW_018085716.1|:916406:917955:+	1	1312	243	1550
KE995142.1:46101:46959:-	APJL01103249.1:2940:3603:-	1	667	1	664
ref|NW_018394325.1|:545203:546245:+	ref|NW_001878136.5|:2064626:2065820:-	4	1041	1064	37
CYUI01014949.1:17316217:17322253:+	CYUI01014980.1:14653836:14659869:-	1	6033	6033	13
gi|1040650294|ref|NW_016094322.1|:1755913:1756586:+	gi|1040649961|ref|NW_016094655.1|:107925:108500:+	99	672	6	574
gi|1041774899|ref|NW_016097687.1|:793990:794899:+	gi|1041774705|ref|NW_016097881.1|:75685:77218:-	1	903	896	6
MDXI01015122.1:252499:253515:+	MDXI01017357.1:2753:4339:-	11	1017	993	1
gi|194206057|ref|NW_001867386.1|:55644697:55647085:+	gi|194214214|ref|NW_001867428.1|:11075778:11077550:-	316	1930	1653	1
gi|1109094414|ref|NW_017619878.1|:12037265:12038351:-	gi|1109076649|ref|NW_017620109.1|:239124:241059:+	2	990	983	1
gi|924427397|ref|NW_013952463.1|:387596:388823:-	gi|924427285|ref|NW_013952575.1|:22707:23932:+	1	1225	1225	1
gi|289737792|ref|NW_003184428.1|:322246:323890:-	gi|289738491|ref|NW_003183729.1|:598368:599480:-	28	1126	5	1113
gi|1051343077|ref|NW_016694796.1|:133217469:133219089:+	gi|1051343077|ref|NW_016694796.1|:55912927:55913685:-	239	991	759	1
MDXI01003422.1:660276:661098:-	MDXI01012608.1:283459:284336:-	1	823	1	818
KN462051.1:1777:2318:+	ref|NW_001877485.5|:84389:84770:+	154	523	3	371
gi|1041775292|ref|NC_030416.1|:11474692:11475781:-	gi|1041775053|ref|NW_016097533.1|:10314648:10316153:-	1	1057	118	1179
CYUI01014915.1:14490209:14496234:+	CYUI01015218.1:3269485:3275514:+	1	6026	1	6025
gi|925216783|ref|NC_027300.1|:51277992:51279597:-	gi|925216698|ref|NC_027321.1|:35951348:35952958:-	1	1606	2	1607
NC_035084.1:60204738:60205152:+	NC_035099.1:14070208:14071827:+	1	415	1	415
KV751324.1:10904803:10905370:-	KV751349.1:769524:770252:-	11	561	1	526
gi|1167782551|ref|NW_018128049.1|:1339187:1339567:+	gi|1022442212|ref|NW_015640464.1|:406886:408189:+	1	379	695	1073
LIAG011039048.1:1:1292:+	LIAG011070207.1:2:1113:+	162	1271	7	1104
gi|924428046|ref|NW_013952421.1|:899526:901140:+	gi|924427246|ref|NW_013952588.1|:355653:357265:+	1	1613	1	1613
gi|1070655892|ref|NW_017306358.1|:748431:749126:+	gi|1070655041|ref|NW_017307209.1|:678233:678927:+	2	696	1	695
LVCR01001572.1:29065:30052:-	LVCR01008169.1:18243:19771:-	1	754	3	748
gi|1154409817|ref|NW_018086037.1|:630683:631230:+	gi|1154409589|ref|NW_018086265.1|:3135850:3136960:+	30	548	495	1012
gi|1074023366|ref|NW_017366894.1|:408043:408433:-	BADN01067316.1:1985:2593:-	7	391	1	381
gi|1167782437|ref|NW_018128154.1|:316029:316874:-	AUPR02S012277.1:2742:3453:-	161	807	17	692
gi|1049006348|ref|NW_016683360.1|:16854858:16856485:-	gi|1049006348|ref|NW_016683360.1|:87784103:87785725:-	1	1628	5	1623
NC_029660.1:30862197:30863759:+	NW_015444245.1:66695:67882:-	338	1521	1188	7
gi|1022439161|ref|NW_015642052.1|:15134:16743:-	gi|1022392375|ref|NW_015666505.1|:82346:83977:+	1	1610	1630	1
gi|1040650352|ref|NW_016094264.1|:3756580:3757005:-	BADN01091818.1:2520:4564:+	117	424	2045	1734
ref|NW_018394238.1|:6701698:6702845:-	ref|NW_018394199.1|:8579844:8580522:-	1	691	1	679
gi|924427390|ref|NW_013952470.1|:2158706:2159493:+	gi|924426794|ref|NW_013952996.1|:230702:231912:+	17	788	1	769
PIZI01000008.1:338369:340779:-	PIZI01000105.1:930892:933288:-	1	2400	1	2397
gi|1154409370|ref|NW_018086484.1|:157732:159099:-	gi|1154406576|ref|NW_018089278.1|:1083320:1084950:+	48	1368	1598	264
CYUI01014918.1:16900616:16906044:-	CYUI01015205.1:3123640:3129695:+	143	5429	5909	603
NC_035079.1:37009810:37011046:+	NC_035090.1:57871847:57873851:+	1	1237	129	1365
ref|NW_019170552.1|:30203119:30203969:-	ref|NW_019172511.1|:234252:235155:-	41	846	92	899
gi|1051343077|ref|NW_016694796.1|:88895582:88896891:+	gi|1051343070|ref|NW_016694802.1|:86416493:86417792:-	4	1287	1297	35
